Date,Product,Quantity,Revenue,Region
2025-01-03,Laptop Pro,5,12495.00,North America
2025-01-07,Wireless Mouse,42,1259.58,Europe
2025-01-12,USB-C Hub,18,1079.82,Asia Pacific
2025-01-15,Mechanical Keyboard,12,1439.88,North America
2025-01-18,Monitor 27",8,3199.92,Europe
2025-01-22,Laptop Pro,3,7497.00,Asia Pacific
2025-01-25,Webcam HD,25,1249.75,North America
2025-01-28,Wireless Mouse,38,1139.62,Europe
2025-02-02,Desk Mat XL,50,1499.50,North America
2025-02-05,USB-C Hub,22,1319.78,Asia Pacific
2025-02-10,Mechanical Keyboard,15,1799.85,Europe
2025-02-14,Monitor 27",6,2399.94,North America
2025-02-18,Laptop Pro,4,9996.00,Europe
2025-02-21,Webcam HD,30,1499.70,Asia Pacific
2025-02-25,Wireless Mouse,55,1649.45,North America
2025-03-01,Desk Mat XL,35,1049.65,Europe
2025-03-05,USB-C Hub,28,1679.72,North America
2025-03-10,Mechanical Keyboard,20,2399.80,Asia Pacific
2025-03-15,Monitor 27",10,3999.90,Europe
2025-03-20,Laptop Pro,7,17493.00,North America
